Date,Open,High,Low,Close,Volume
09/05/2025 - 00:00,30.19024851815864,30.267908246406055,29.743703692070508,30.00580596923828,25075600
12/05/2025 - 00:00,30.96684612548595,31.22894655384928,30.724159240722656,30.724159240722656,53493600
13/05/2025 - 00:00,30.840649090701607,31.30660745496063,30.432935059086475,31.19011878967285,56165300
14/05/2025 - 00:00,31.063920387470912,31.180409052053722,30.77269687445995,30.976552963256836,28060100
15/05/2025 - 00:00,30.772697910462227,31.151288860433016,30.665915088038055,30.937725067138672,32468300
16/05/2025 - 00:00,30.90860102750614,31.219239936075414,30.733866178547434,31.083335876464844,48111800
19/05/2025 - 00:00,30.908602009071565,31.160994741633885,30.772697945145083,31.044506072998047,30200500
20/05/2025 - 00:00,31.112457702820386,31.46192740731888,31.015384430729895,31.170703887939453,33485800
21/05/2025 - 00:00,31.267776719690026,31.442511569478505,30.762989416644807,30.82123374938965,28724100
22/05/2025 - 00:00,30.71445203649333,30.72415973422627,30.297030291747028,30.41352081298828,42207300
23/05/2025 - 00:00,30.18054080007188,30.48147201538086,29.96697701042583,30.48147201538086,25732400
26/05/2025 - 00:00,30.539716966243656,30.607670849897698,30.22907804718408,30.384397506713867,21277100
27/05/2025 - 00:00,30.597962132980776,30.743573889995215,30.44264267862485,30.607669830322266,34361500
28/05/2025 - 00:00,30.74357450787152,30.792111144000494,30.510595321655273,30.510595321655273,30516200
